city,date,state,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
string,time,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,city state,continuous,continuous,continuous,False True,continuous,continuous,continuous,continuous,continuous
meta,,,,,,,,,,,,
,2022-03-27,AP,state,160328,2122,734,True,845731,861773,16,18604.43527,0.0132
Amapá,2021-12-14,AP,city,1424,13,586,True,9109,9187,1600105,15500.16327,0.0091
Calçoene,2021-12-14,AP,city,1852,14,581,True,11117,11306,1600204,16380.68282,0.0076
Cutias,2021-12-14,AP,city,874,7,577,True,5983,6101,1600212,14325.52041,0.0080
Ferreira Gomes,2021-12-14,AP,city,1566,7,580,True,7780,7967,1600238,19656.08134,0.0045
Itaubal,2021-12-14,AP,city,550,3,588,True,5503,5617,1600253,9791.70376,0.0055
Laranjal do Jari,2021-12-14,AP,city,8401,95,597,True,50410,51362,1600279,16356.45029,0.0113
Macapá,2021-12-14,AP,city,61993,1500,623,True,503327,512902,1600303,12086.71442,0.0242
Mazagão,2021-12-14,AP,city,3195,24,598,True,21632,22053,1600402,14487.82479,0.0075
Oiapoque,2021-12-14,AP,city,6430,51,608,True,27270,27906,1600501,23041.63979,0.0079
Pedra Branca do Amapari,2021-12-14,AP,city,3514,13,589,True,16502,17067,1600154,20589.44161,0.0037
Porto Grande,2021-12-14,AP,city,2115,27,598,True,21971,22452,1600535,9420.09621,0.0128
Pracuúba,2021-12-14,AP,city,393,6,577,True,5120,5246,1600550,7491.42204,0.0153
Santana,2021-12-14,AP,city,26116,201,607,True,121364,123096,1600600,21215.96153,0.0077
Serra do Navio,2021-12-14,AP,city,1336,5,590,True,5397,5488,1600055,24344.02332,0.0037
Tartarugalzinho,2021-12-14,AP,city,1966,14,586,True,17315,17769,1600709,11064.21296,0.0071
Vitória do Jari,2021-12-14,AP,city,3937,28,598,True,15931,16254,1600808,24221.73004,0.0071
,2022-03-27,AC,state,123808,1992,722,True,881935,894470,12,13841.49273,0.0161
Acrelândia,2021-11-05,AC,city,1796,37,562,True,15256,15490,1200013,11594.57715,0.0206
Assis Brasil,2021-11-05,AC,city,1827,24,529,True,7417,7534,1200054,24250.06637,0.0131
Brasiléia,2021-11-05,AC,city,3000,44,521,True,26278,26702,1200104,11235.11347,0.0147
Bujari,2021-11-05,AC,city,1144,17,552,True,10266,10420,1200138,10978.88676,0.0149
Capixaba,2021-11-05,AC,city,675,17,522,True,11733,12008,1200179,5621.25250,0.0252
Cruzeiro do Sul,2021-11-05,AC,city,7903,168,547,True,88376,89072,1200203,8872.59745,0.0213
Epitaciolândia,2021-11-05,AC,city,1581,36,523,True,18411,18696,1200252,8456.35430,0.0228
Feijó,2021-11-05,AC,city,3338,63,528,True,34780,34884,1200302,9568.85678,0.0189
Jordão,2021-11-05,AC,city,706,2,512,True,8317,8473,1200328,8332.34982,0.0028
Manoel Urbano,2021-11-05,AC,city,907,14,517,True,9459,9581,1200344,9466.65275,0.0154
Marechal Thaumaturgo,2021-11-05,AC,city,1359,13,518,True,18867,19299,1200351,7041.81564,0.0096
Mâncio Lima,2021-11-05,AC,city,2992,32,531,True,18977,19311,1200336,15493.76003,0.0107
Plácido de Castro,2021-11-05,AC,city,1791,20,554,True,19761,19955,1200385,8975.19419,0.0112
Porto Acre,2021-11-05,AC,city,1553,38,562,True,18504,18824,1200807,8250.10625,0.0245
Porto Walter,2021-11-05,AC,city,551,6,517,True,11982,12241,1200393,4501.26624,0.0109
Rio Branco,2021-11-05,AC,city,38206,1090,574,True,407319,413418,1200401,9241.49408,0.0285
Rodrigues Alves,2021-11-05,AC,city,1016,14,518,True,18930,19351,1200427,5250.37466,0.0138
Santa Rosa do Purus,2021-11-05,AC,city,1014,7,522,True,6540,6717,1200435,15096.02501,0.0069
Sena Madureira,2021-11-05,AC,city,5876,83,526,True,45848,46511,1200500,12633.57055,0.0141
Senador Guiomard,2021-11-05,AC,city,1205,42,541,True,23024,23236,1200450,5185.91840,0.0349
Tarauacá,2021-11-05,AC,city,6589,47,528,True,42567,43151,1200609,15269.63454,0.0071
Xapuri,2021-11-05,AC,city,3031,31,531,True,19323,19596,1200708,15467.44234,0.0102
,2022-03-27,AM,state,581070,14151,739,True,4144597,4207714,13,13809.63630,0.0244
Alvarães,2021-12-18,AM,city,2908,46,593,True,16041,16220,1300029,17928.48335,0.0158
Amaturá,2021-12-18,AM,city,2403,18,603,True,11536,11736,1300060,20475.46012,0.0075
Anamã,2021-12-18,AM,city,2046,10,613,True,13614,13956,1300086,14660.36113,0.0049
Anori,2021-12-18,AM,city,1930,33,629,True,21010,21477,1300102,8986.35750,0.0171
Apuí,2021-12-18,AM,city,1577,33,589,True,21973,22359,1300144,7053.08824,0.0209
Atalaia do Norte,2021-12-18,AM,city,2855,10,597,True,19921,20398,1300201,13996.47024,0.0035
Autazes,2021-12-18,AM,city,3223,96,607,True,39565,40290,1300300,7999.50360,0.0298
Barcelos,2021-12-18,AM,city,4501,60,605,True,27502,27638,1300409,16285.54888,0.0133
Barreirinha,2021-12-18,AM,city,2619,64,595,True,32041,32483,1300508,8062.67894,0.0244
Benjamin Constant,2021-12-18,AM,city,2892,88,605,True,42984,43935,1300607,6582.45135,0.0304
Beruri,2021-12-18,AM,city,2296,34,606,True,19679,20093,1300631,11426.86508,0.0148
Boa Vista do Ramos,2021-12-18,AM,city,1239,13,594,True,19207,19626,1300680,6313.05411,0.0105
Boca do Acre,2021-12-18,AM,city,2678,27,632,True,34308,34635,1300706,7732.06294,0.0101
Borba,2021-12-18,AM,city,2523,70,600,True,41161,41748,1300805,6043.40328,0.0277
Caapiranga,2021-12-18,AM,city,706,22,603,True,13081,13283,1300839,5315.06437,0.0312
Canutama,2021-12-18,AM,city,1475,10,608,True,15629,15807,1300904,9331.30891,0.0068
Carauari,2021-12-18,AM,city,6732,57,611,True,28294,28508,1301001,23614.42402,0.0085
Careiro,2021-12-18,AM,city,4600,87,616,True,37869,38348,1301100,11995.41045,0.0189
Careiro da Várzea,2021-12-18,AM,city,1028,25,627,True,30225,30846,1301159,3332.68495,0.0243
Coari,2021-12-18,AM,city,9678,236,610,True,85097,85910,1301209,11265.27762,0.0244
Codajás,2021-12-18,AM,city,2647,25,603,True,28637,29168,1301308,9075.01371,0.0094
Eirunepé,2021-12-18,AM,city,4218,34,596,True,35273,35700,1301407,11815.12605,0.0081
Envira,2021-12-18,AM,city,2717,13,569,True,20033,20393,1301506,13323.19914,0.0048
Fonte Boa,2021-12-18,AM,city,1628,44,603,True,17609,17005,1301605,9573.65481,0.0270
Guajará,2021-12-18,AM,city,1696,29,583,True,16678,16937,1301654,10013.57974,0.0171
Humaitá,2021-12-18,AM,city,8176,151,601,True,55080,56144,1301704,14562.55343,0.0185
Ipixuna,2021-12-18,AM,city,5505,19,569,True,29689,30436,1301803,18087.13366,0.0035
Iranduba,2021-12-18,AM,city,9010,168,622,True,48296,49011,1301852,18383.62817,0.0186
Itacoatiara,2021-12-18,AM,city,10901,316,629,True,101337,102701,1301902,10614.30755,0.0290
Itamarati,2021-12-18,AM,city,965,9,584,True,7851,7814,1301951,12349.62887,0.0093
Itapiranga,2021-12-18,AM,city,3097,43,601,True,9148,9230,1302009,33553.62947,0.0139
Japurá,2021-12-18,AM,city,1051,11,586,True,2755,2251,1302108,46690.35984,0.0105
Juruá,2021-12-18,AM,city,1014,16,608,True,14712,15106,1302207,6712.56454,0.0158
Jutaí,2021-12-18,AM,city,4065,36,621,True,14317,13886,1302306,29274.08901,0.0089
Lábrea,2021-12-18,AM,city,7061,80,613,True,46069,46882,1302405,15061.21752,0.0113
Manacapuru,2021-12-18,AM,city,9647,406,631,True,97377,98502,1302504,9793.70977,0.0421
Manaquiri,2021-12-18,AM,city,1879,53,604,True,32105,33049,1302553,5685.49729,0.0282
Manaus,2021-12-18,AM,city,206015,9504,641,True,2182763,2219580,1302603,9281.71095,0.0461
Manicoré,2021-12-18,AM,city,4952,103,619,True,55751,56583,1302702,8751.74522,0.0208
Maraã,2021-12-18,AM,city,2576,23,605,True,18224,18261,1302801,14106.56591,0.0089
Maués,2021-12-18,AM,city,5005,130,617,True,63905,65040,1302900,7695.26445,0.0260
Nhamundá,2021-12-18,AM,city,1929,38,604,True,21173,21443,1303007,8995.94273,0.0197
Nova Olinda do Norte,2021-12-18,AM,city,2642,69,605,True,37378,38026,1303106,6947.87777,0.0261
Novo Airão,2021-12-18,AM,city,2420,33,628,True,19454,19928,1303205,12143.71738,0.0136
Novo Aripuanã,2021-12-18,AM,city,2046,31,603,True,25644,26046,1303304,7855.33287,0.0152
Parintins,2021-12-18,AM,city,10155,358,636,True,114273,115363,1303403,8802.64903,0.0353
Pauini,2021-12-18,AM,city,2768,22,587,True,19426,19522,1303502,14178.87512,0.0079
Presidente Figueiredo,2021-12-18,AM,city,6306,111,619,True,36279,37193,1303536,16954.80332,0.0176
Rio Preto da Eva,2021-12-18,AM,city,4910,85,605,True,33347,34106,1303569,14396.29391,0.0173
Santa Isabel do Rio Negro,2021-12-18,AM,city,2790,54,609,True,25156,25865,1303601,10786.77750,0.0194
Santo Antônio do Içá,2021-12-18,AM,city,1869,45,632,True,21602,21243,1303700,8798.19235,0.0241
Silves,2021-12-18,AM,city,1392,22,603,True,9171,9230,1304005,15081.25677,0.0158
São Gabriel da Cachoeira,2021-12-18,AM,city,8500,110,618,True,45564,46303,1303809,18357.34186,0.0129
São Paulo de Olivença,2021-12-18,AM,city,5356,66,620,True,39299,40073,1303908,13365.60777,0.0123
São Sebastião do Uatumã,2021-12-18,AM,city,1660,19,602,True,14020,14352,1303957,11566.33222,0.0114
Tabatinga,2021-12-18,AM,city,3431,126,619,True,65844,67182,1304062,5107.02271,0.0367
Tapauá,2021-12-18,AM,city,1977,24,603,True,17156,17015,1304104,11619.15957,0.0121
Tefé,2021-12-18,AM,city,9963,200,617,True,59849,59547,1304203,16731.32148,0.0201
Tonantins,2021-12-18,AM,city,1475,39,625,True,18755,18897,1304237,7805.47177,0.0264
Uarini,2021-12-18,AM,city,1976,26,582,True,13540,13690,1304260,14433.89335,0.0132
Urucará,2021-12-18,AM,city,2545,54,602,True,16256,16130,1304302,15778.05332,0.0212
Urucurituba,2021-12-18,AM,city,2744,36,601,True,23065,23585,1304401,11634.51346,0.0131
,2022-03-26,AL,state,295972,6869,746,True,3337357,3351543,27,8830.91758,0.0232
Anadia,2022-03-10,AL,city,1696,37,672,True,17545,17526,2700201,9677.05124,0.0218
Arapiraca,2022-03-10,AL,city,35747,560,677,True,231747,233047,2700300,15338.96596,0.0157
Atalaia,2022-03-10,AL,city,1836,56,669,True,47185,47365,2700409,3876.27995,0.0305
Barra de Santo Antônio,2022-03-10,AL,city,603,33,672,True,15932,16068,2700508,3752.80060,0.0547
Barra de São Miguel,2022-03-10,AL,city,929,10,666,True,8322,8378,2700607,11088.56529,0.0108
Batalha,2022-03-10,AL,city,1261,23,666,True,18232,18338,2700706,6876.43145,0.0182
Belo Monte,2022-03-10,AL,city,598,9,637,True,6704,6710,2700904,8912.07154,0.0151
Belém,2022-03-10,AL,city,210,8,643,True,4344,4284,2700805,4901.96078,0.0381
Boca da Mata,2022-03-10,AL,city,2535,50,680,True,27281,27356,2701001,9266.70566,0.0197
Branquinha,2022-03-10,AL,city,1091,16,666,True,10494,10460,2701100,10430.21033,0.0147
Cacimbinhas,2022-03-10,AL,city,1020,12,656,True,10858,10889,2701209,9367.25135,0.0118
Cajueiro,2022-03-10,AL,city,827,33,655,True,21264,21331,2701308,3876.98655,0.0399
Campestre,2022-03-10,AL,city,287,6,658,True,6936,6954,2701357,4127.12108,0.0209
Campo Alegre,2022-03-10,AL,city,3202,84,664,True,57063,57537,2701407,5565.11462,0.0262
Campo Grande,2022-03-10,AL,city,622,11,659,True,9558,9567,2701506,6501.51563,0.0177
Canapi,2022-03-10,AL,city,677,13,657,True,17722,17719,2701605,3820.75738,0.0192
Capela,2022-03-10,AL,city,1322,20,674,True,17053,16979,2701704,7786.08870,0.0151
Carneiros,2022-03-10,AL,city,443,11,650,True,9081,9159,2701803,4836.77257,0.0248
Chã Preta,2022-03-10,AL,city,449,11,638,True,7311,7311,2701902,6141.43072,0.0245
Coité do Nóia,2022-03-10,AL,city,629,22,658,True,10693,10643,2702009,5909.98779,0.0350
Colônia Leopoldina,2022-03-10,AL,city,479,21,664,True,21698,21818,2702108,2195.43496,0.0438
Coqueiro Seco,2022-03-10,AL,city,575,9,663,True,5845,5864,2702207,9805.59345,0.0157
Coruripe,2022-03-10,AL,city,5280,61,666,True,56933,57294,2702306,9215.62467,0.0116
Craíbas,2022-03-10,AL,city,1436,33,656,True,24219,24309,2702355,5907.27714,0.0230
Delmiro Gouveia,2022-03-10,AL,city,5522,144,671,True,52016,52262,2702405,10565.99441,0.0261
Dois Riachos,2022-03-10,AL,city,784,8,649,True,11075,11067,2702504,7084.12397,0.0102
Estrela de Alagoas,2022-03-10,AL,city,768,19,642,True,18205,18255,2702553,4207.06656,0.0247
Feira Grande,2022-03-10,AL,city,879,22,649,True,22166,22178,2702603,3963.38714,0.0250
Feliz Deserto,2022-03-10,AL,city,176,5,645,True,4754,4779,2702702,3682.77882,0.0284
Flexeiras,2022-03-10,AL,city,799,20,657,True,12790,12807,2702801,6238.77567,0.0250
Girau do Ponciano,2022-03-10,AL,city,2096,52,645,True,40917,41237,2702900,5082.81398,0.0248
Ibateguara,2022-03-10,AL,city,954,21,676,True,15616,15627,2703007,6104.81858,0.0220
